tile_id,row,col,expected_filename,batch_id,expected_width,expected_height,expected_crs,expected_pixel_size_x,expected_pixel_size_y,expected_band_count,expected_band_order,expected_dtype,expected_nodata,status
SULSEL_R000_C006,0,6,SULSEL_2021_SULSEL_R000_C006_S2WC_V1.tif,batch_01,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R000_C007,0,7,SULSEL_2021_SULSEL_R000_C007_S2WC_V1.tif,batch_01,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R000_C009,0,9,SULSEL_2021_SULSEL_R000_C009_S2WC_V1.tif,batch_01,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R001_C006,1,6,SULSEL_2021_SULSEL_R001_C006_S2WC_V1.tif,batch_01,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R001_C007,1,7,SULSEL_2021_SULSEL_R001_C007_S2WC_V1.tif,batch_01,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R001_C010,1,10,SULSEL_2021_SULSEL_R001_C010_S2WC_V1.tif,batch_02,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R002_C006,2,6,SULSEL_2021_SULSEL_R002_C006_S2WC_V1.tif,batch_02,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R002_C007,2,7,SULSEL_2021_SULSEL_R002_C007_S2WC_V1.tif,batch_02,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R003_C006,3,6,SULSEL_2021_SULSEL_R003_C006_S2WC_V1.tif,batch_02,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R004_C000,4,0,SULSEL_2021_SULSEL_R004_C000_S2WC_V1.tif,batch_02,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R004_C001,4,1,SULSEL_2021_SULSEL_R004_C001_S2WC_V1.tif,batch_03,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R004_C002,4,2,SULSEL_2021_SULSEL_R004_C002_S2WC_V1.tif,batch_03,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R004_C003,4,3,SULSEL_2021_SULSEL_R004_C003_S2WC_V1.tif,batch_03,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R004_C004,4,4,SULSEL_2021_SULSEL_R004_C004_S2WC_V1.tif,batch_03,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R004_C005,4,5,SULSEL_2021_SULSEL_R004_C005_S2WC_V1.tif,batch_03,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R004_C006,4,6,SULSEL_2021_SULSEL_R004_C006_S2WC_V1.tif,batch_04,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R005_C000,5,0,SULSEL_2021_SULSEL_R005_C000_S2WC_V1.tif,batch_04,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R005_C001,5,1,SULSEL_2021_SULSEL_R005_C001_S2WC_V1.tif,batch_04,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R005_C003,5,3,SULSEL_2021_SULSEL_R005_C003_S2WC_V1.tif,batch_04,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R005_C004,5,4,SULSEL_2021_SULSEL_R005_C004_S2WC_V1.tif,batch_04,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R005_C005,5,5,SULSEL_2021_SULSEL_R005_C005_S2WC_V1.tif,batch_05,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R005_C006,5,6,SULSEL_2021_SULSEL_R005_C006_S2WC_V1.tif,batch_05,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
